,seed,model,rmsd_gr,rmsd_i2,rank,plddt,trial,scale,asp,phe
232,41,1,2.280446529,18.44881058,73,88.3,Abl1 M290L,256:512 Second Replicate,59.21619797,59.21619797
233,39,2,2.378916264,18.55897141,74,88.2,Abl1 M290L,256:512 Second Replicate,61.71118927,61.71118927
234,38,1,2.315737247,18.43322182,75,88.2,Abl1 M290L,256:512 Second Replicate,59.27367401,59.27367401
235,45,5,2.449030161,18.67900467,76,88.2,Abl1 M290L,256:512 Second Replicate,34.18687439,34.18687439
236,58,2,2.310870171,18.40172195,77,88.2,Abl1 M290L,256:512 Second Replicate,60.97101593,60.97101593
237,58,4,2.457466125,18.40729332,78,88.2,Abl1 M290L,256:512 Second Replicate,57.13926315,57.13926315
238,58,5,2.323904753,18.52719498,79,88.2,Abl1 M290L,256:512 Second Replicate,34.1347084,34.1347084
239,41,5,2.258538246,18.51406288,80,88.1,Abl1 M290L,256:512 Second Replicate,56.38212585,56.38212585
240,48,2,2.424308777,18.52809715,81,88.1,Abl1 M290L,256:512 Second Replicate,57.66696548,57.66696548
241,44,4,2.424926281,18.63827133,82,88,Abl1 M290L,256:512 Second Replicate,61.32646561,61.32646561
242,48,1,2.407184601,18.38223267,83,88,Abl1 M290L,256:512 Second Replicate,55.99578476,55.99578476
243,59,3,2.364061594,18.40440559,84,88,Abl1 M290L,256:512 Second Replicate,58.96424484,58.96424484
244,47,1,2.252331972,18.36593628,85,88,Abl1 M290L,256:512 Second Replicate,56.99814606,56.99814606
245,32,5,2.647460461,18.46297646,86,87.9,Abl1 M290L,256:512 Second Replicate,34.63336945,34.63336945
246,59,2,2.380066395,18.52425003,87,87.9,Abl1 M290L,256:512 Second Replicate,64.37872314,64.37872314
247,53,3,2.395818949,18.38411331,88,87.9,Abl1 M290L,256:512 Second Replicate,56.8504982,56.8504982
248,54,1,2.507742643,18.42150879,89,87.8,Abl1 M290L,256:512 Second Replicate,59.1004715,59.1004715
249,59,5,2.313711166,18.4187336,90,87.8,Abl1 M290L,256:512 Second Replicate,35.05423737,35.05423737
250,49,5,2.718927383,18.76449776,91,87.7,Abl1 M290L,256:512 Second Replicate,34.89385223,34.89385223
